NY,New York,1537195,1.5E-04,505.6453052290963,114.25180842032435
CA,Los Angeles,9519338,1.1E-04,58.480269274700056,199.34644219784528
NY,Bronx,1332650,1.1E-04,506.33510101708873,113.08089210978112
CA,Orange,2846289,9.8E-05,63.268732149988296,204.59497681910153
NY,Kings,2465326,9.8E-05,505.9355469494507,115.99808781277557
CA,Kern,661645,9.7E-05,57.602276792710676,181.00050164495434
OR,Multnomah,660486,9.3E-05,57.328007494834935,44.14957803501296
NJ,Hudson,608975,9.1E-05,504.5396354367313,115.18447017751694
NY,Queens,2229379,8.9E-05,506.97143863158624,115.26931250202804
VA,Richmond City,197790,8.6E-05,480.3103478380152,163.08368954388322
CA,San Francisco,776733,8.4E-05,29.27092206797948,141.30936143038667
CO,Denver,554636,7.9E-05,205.92663754804616,148.15531925649574
CA,San Bernardino,1709434,7.7E-05,82.36336635023127,194.3556560659082
DC,District of Columbia,572059,7.7E-05,481.4460726670503,144.60924751737733
VA,Arlington,189453,7.7E-05,480.4534893757311,145.0322587381533
WV,Brooke,25447,7.7E-05,443.56795358106865,133.33433267863106
NY,Nassau,1334544,7.6E-05,509.14866406150486,114.05936803430541
MD,Baltimore City,651154,7.4E-05,484.4854864795326,138.70933515221023
WI,Milwaukee,940164,7.4E-05,368.99452534230056,106.8681667583641
AL,Jefferson,662047,7.3E-05,390.8261219658077,228.19741663990084
NJ,Union,522541,7.3E-05,502.6008305950762,116.61809175917982
OR,Washington,445342,7.3E-05,51.18513159737493,42.33960144479247
NJ,Essex,793633,7.1E-05,502.9613855678996,114.91491351665778
VA,Winchester,23585,7.1E-05,469.4431994900107,143.3618154608144
CA,Alameda,1443741,7.0E-05,34.28906487060258,143.97158512322645
GA,Fulton,816006,7.0E-05,416.3389596157716,222.0308023802573
MA,Suffolk,689807,7.0E-05,527.4159889543843,87.72632331253511
NY,Richmond,443728,7.0E-05,504.35580572667186,117.31880251090035
CA,Glenn,26453,6.9E-05,36.18840637911511,118.3948876169041
MO,St. Louis City,348189,6.9E-05,350.94166324862584,164.99834803834764
NJ,Bergen,884118,6.9E-05,503.882317126815,112.31935266585378
VA,Falls Church,10377,6.9E-05,479.5633503103258,145.27254742277654
AZ,Maricopa,3072149,6.8E-05,118.84108307807765,220.35753027302468
GA,DeKalb,665865,6.8E-05,418.7283211070562,222.11502921323398
VA,Alexandria,128283,6.8E-05,480.947725136644,145.8716242475344
CA,San Diego,2813833,6.6E-05,71.71019185963635,214.90037955962939
CO,Adams,363857,6.6E-05,210.87279295302832,147.1730793436839
GA,Clayton,236517,6.6E-05,417.83390165091095,225.81459461644974
OR,Clackamas,338391,6.6E-05,57.39890176180037,49.034927213251585
MD,Montgomery,873341,6.5E-05,479.06501578838527,141.9418181052898
NY,Westchester,923459,6.5E-05,506.23855904165345,109.1491980866679
VA,Roanoke City,94911,6.5E-05,456.16125003242166,170.752751724826
CA,Fresno,799407,6.4E-05,53.06320657771883,161.09980049312668
CA,Santa Barbara,399347,6.4E-05,42.20124746379539,189.00311113297371
GA,Cobb,607751,6.4E-05,414.71743423074776,220.57952261282279
LA,Orleans,484674,6.4E-05,361.49291249701605,275.640097149572
MD,Prince George's,801515,6.4E-05,483.2864106941092,145.36932089188983
MI,Wayne,2061162,6.4E-05,414.23560936282854,111.3574882982989
WA,Clark,345238,6.4E-05,57.7202578975082,41.09530750989545
CA,Santa Clara,1682585,6.3E-05,35.0487857766289,150.1922439448635
GA,Gwinnett,588448,6.3E-05,420.7115489054574,219.36724817262726
NJ,Passaic,489049,6.3E-05,501.809769222279,111.99163517160041
NY,Suffolk,1419369,6.3E-05,515.7291154660143,110.64040848138532
VA,Henrico,262300,6.3E-05,480.8462338416444,162.55332489251873
LA,Caddo,252161,6.2E-05,316.8086591253739,245.5131011280815
NE,Douglas,463585,6.2E-05,291.81864123274823,132.21805865354762
CA,Riverside,1545387,6.1E-05,81.25776624642486,207.76721140921507
CA,Sacramento,1223499,6.1E-05,41.26687727684702,136.30007116954584
FL,Leon,239452,6.1E-05,423.1674624825444,265.0356474149453
IL,Cook,5376741,6.1E-05,371.28333158254935,121.8121301912302
MD,Baltimore,754292,6.1E-05,483.9162890002318,137.09818789953323
NE,Lancaster,250291,6.1E-05,286.8141006704421,138.9056533239463
PA,Allegheny,1281666,6.1E-05,448.9968975962508,129.86225995177566
TN,Davidson,569891,6.1E-05,388.50517480687483,194.38132087831985
TN,Hamilton,307896,6.1E-05,406.61727990531284,205.4357117956853
CA,Madera,123109,6.0E-05,53.954055073043115,154.88837107563984
MD,Howard,247842,6.0E-05,481.2559086304366,139.99014461616804
MS,Coahoma,30622,6.0E-05,350.59351514208646,222.46367769227328
MS,Hinds,250800,6.0E-05,354.11863445137385,247.50256522348016
MO,St. Louis,1016315,6.0E-05,349.1897159941216,165.21338726520855
TX,Harris,3400578,6.0E-05,300.0037606686496,280.1730889665788
CA,Yolo,168660,5.9E-05,37.88441561700641,131.507316158927
CO,Arapahoe,487967,5.9E-05,211.05611214894853,150.05461681272143
GA,Muscogee,186291,5.9E-05,413.6224419113496,239.28620155602357
GA,Richmond,199775,5.9E-05,442.2238486745691,224.5201184203086
KY,Jefferson,693604,5.9E-05,397.0179867521335,167.20984960804813
MS,Winston,20160,5.9E-05,368.250415131645,236.11434781357858
NJ,Middlesex,750162,5.9E-05,502.261931826058,119.36989501606509
CA,Tulare,368021,5.8E-05,59.98718881822571,170.08808362510288
CA,Ventura,753197,5.8E-05,51.891018753173185,191.3184242215929
KY,Boyd,49752,5.8E-05,426.643236965948,161.15967536282136
